CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Unnamed: 19
771071958,41.0,F,3,Graduate,Single,Less than $40K,,28.0,6.0,1,2,7768.0,1669,0.797,1051,22,0.833,0.215,
720466383,59.0,M,1,High School,Unknown,$40K - $60K,,46.0,4.0,1,2,14784.0,1374,0.921,1197,23,1.3,0.093,
804424383,63.0,M,1,Unknown,,$60K - $80K,Blue,56.0,3.0,3,2,10215.0,1010,0.843,1904,40,1.0,0.099,
718813833,44.0,F,3,Uneducated,Single,Unknown,Blue,34.0,5.0,2,2,10100.0,0,0.525,1052,18,1.571,0.0,
806624208,47.0,M,4,High School,,$40K - $60K,Blue,42.0,6.0,0,0,4785.0,1362,0.739,1045,38,0.9,0.285,
778348233,53.0,M,3,Unknown,Married,$80K - $120K,Blue,33.0,3.0,2,3,2753.0,1811,0.977,1038,25,2.571,0.658,
712991808,53.0,M,2,Uneducated,Married,$60K - $80K,Blue,48.0,2.0,5,1,2451.0,1690,1.323,1596,26,1.6,0.69,
709029408,41.0,M,4,Graduate,Married,$60K - $80K,Blue,36.0,4.0,1,2,8923.0,2517,1.726,1589,24,1.667,0.282,
788658483,53.0,F,2,College,Married,Less than $40K,Blue,38.0,5.0,2,3,2650.0,1490,1.75,1411,28,1.0,0.562,
787937058,58.0,M,0,Graduate,Married,$80K - $120K,Blue,49.0,6.0,2,2,12555.0,1696,0.519,1291,24,0.714,0.135,
715318008,55.0,F,1,College,Single,Less than $40K,Blue,36.0,4.0,2,1,3520.0,1914,0.51,1407,43,0.483,0.544,
713962233,55.0,F,3,Graduate,Married,Less than $40K,Blue,36.0,6.0,2,3,3035.0,2298,1.724,1877,37,1.176,0.757,
785432733,42.0,F,4,High School,Married,Less than $40K,Gold,36.0,2.0,3,3,15433.0,0,0.865,966,22,1.2,0.0,
715190283,57.0,F,1,Graduate,Unknown,$40K - $60K,Blue,49.0,,3,2,3672.0,886,1.32,1464,28,0.556,0.241,
708300483,66.0,F,0,Doctorate,,Unknown,Blue,56.0,5.0,4,3,7882.0,605,1.052,704,16,0.143,0.077,
827111283,45.0,M,3,Graduate,Single,$80K - $120K,Blue,41.0,2.0,2,2,32426.0,578,1.042,1109,28,0.474,0.018,
758551608,51.0,M,2,Unknown,Married,$40K - $60K,,44.0,4.0,1,0,6205.0,2204,0.803,1347,28,0.556,0.355,
773146383,50.0,,1,College,Single,$40K - $60K,Silver,43.0,3.0,2,3,17304.0,2517,1.449,1756,33,1.2,0.145,
778493808,49.0,M,3,High School,Married,$60K - $80K,,37.0,5.0,2,1,3906.0,0,1.214,1756,32,1.0,0.0,
720572508,38.0,F,4,Graduate,Single,Unknown,Blue,28.0,2.0,3,3,9830.0,2055,0.977,1042,23,0.917,0.209,
712661433,49.0,M,4,Uneducated,Single,$80K - $120K,Blue,30.0,3.0,2,3,34516.0,0,1.621,1444,28,1.333,0.0,
789172683,56.0,M,2,Doctorate,Married,$60K - $80K,Blue,45.0,6.0,2,0,2283.0,1430,2.316,1741,27,0.588,0.626,
738406533,59.0,M,1,Doctorate,Married,$40K - $60K,Blue,52.0,3.0,2,2,2548.0,2020,2.357,1719,27,1.7,0.793,
799723908,46.0,M,3,High School,Married,$80K - $120K,Blue,40.0,4.0,3,3,19458.0,1435,0.787,1217,27,0.8,0.074,
771490833,52.0,M,1,College,Single,$80K - $120K,Blue,40.0,5.0,1,1,4745.0,1227,0.624,1140,40,0.6,0.259,
720756708,52.0,F,3,Unknown,Married,Less than $40K,Blue,41.0,6.0,3,2,2622.0,1549,1.321,1878,30,1.143,0.591,
779471883,54.0,F,1,Graduate,Married,Less than $40K,Blue,40.0,2.0,3,1,1438.3,808,0.997,705,19,0.9,0.562,
711525033,66.0,F,0,High School,Married,Less than $40K,,54.0,3.0,4,2,3171.0,2179,1.224,1946,38,1.923,0.687,
712813458,49.0,M,2,Unknown,Married,$120K +,Blue,36.0,4.0,2,0,19763.0,2517,0.664,1414,35,0.25,0.127,
714374133,56.0,M,2,Graduate,,$120K +,Blue,36.0,1.0,3,3,15769.0,0,1.041,602,15,0.364,0.0,
717891558,49.0,F,4,Graduate,Unknown,Less than $40K,Blue,36.0,6.0,4,2,3298.0,2200,0.678,1052,32,0.6,0.667,
716632758,49.0,F,3,Graduate,Single,Less than $40K,Blue,36.0,2.0,2,0,2802.0,2363,0.75,1295,40,0.6,0.843,
768563658,56.0,M,2,Uneducated,Married,$40K - $60K,,50.0,4.0,2,3,4458.0,1880,1.107,1424,29,1.417,0.422,
711427458,44.0,F,5,Graduate,Married,Unknown,Blue,,4.0,1,2,6273.0,978,2.275,1359,25,1.083,0.156,
714091983,42.0,M,2,High School,Single,$60K - $80K,,34.0,4.0,4,3,3336.0,1753,0.69,1168,27,1.25,0.525,
787584108,55.0,M,3,Unknown,Married,$80K - $120K,Blue,47.0,4.0,2,3,3436.0,2016,0.901,1097,33,0.833,0.587,
712030833,48.0,M,2,Graduate,,$60K - $80K,Silver,35.0,2.0,4,4,34516.0,0,0.763,691,15,0.5,0.0,
711481533,39.0,M,1,High School,Divorced,$60K - $80K,Blue,33.0,5.0,3,3,5926.0,1251,0.944,1316,28,1.154,0.211,
710082708,44.0,M,4,Post-Graduate,Single,$120K +,Blue,32.0,2.0,4,2,23957.0,2102,0.997,1276,26,0.733,0.088,
708155733,53.0,M,2,High School,Single,$120K +,Blue,44.0,4.0,2,2,14734.0,1634,0.989,1289,23,0.917,0.111,
788979258,51.0,M,4,Uneducated,Single,$80K - $120K,Silver,38.0,4.0,1,4,34516.0,1515,0.592,1293,32,0.6,0.044,
807986133,57.0,M,2,College,Married,$60K - $80K,Blue,52.0,5.0,3,3,6584.0,1817,0.62,1353,35,0.667,0.276,
788730933,44.0,F,2,Uneducated,,Less than $40K,Blue,20.0,6.0,3,3,2084.0,1468,1.004,1132,28,0.556,0.704,
711314058,49.0,M,2,Graduate,Married,$60K - $80K,Blue,32.0,2.0,2,2,1687.0,1107,1.715,1670,17,2.4,0.656,
717975333,50.0,M,2,Doctorate,Married,$80K - $120K,Blue,38.0,6.0,2,2,25300.0,1330,1.072,837,15,2.0,0.053,
715971108,51.0,M,4,Graduate,Single,$120K +,,42.0,3.0,2,3,34516.0,1763,1.266,1550,41,1.05,0.051,
720096558,55.0,F,2,Graduate,Married,Less than $40K,Blue,42.0,5.0,3,3,2216.0,1034,0.758,1540,36,0.286,0.467,
719580033,54.0,M,1,Graduate,Unknown,$60K - $80K,Blue,43.0,4.0,2,3,2910.0,2030,0.769,1256,21,0.4,0.698,
820582308,42.0,M,5,Uneducated,Married,$80K - $120K,Blue,37.0,6.0,2,2,22913.0,1528,0.414,1394,35,0.522,0.067,
789973308,44.0,M,1,College,Single,$60K - $80K,Blue,35.0,,3,3,24312.0,1932,1.312,1341,24,1.182,0.079,
712876233,53.0,M,2,Graduate,,$80K - $120K,,36.0,5.0,3,2,5272.0,1515,0.857,1289,33,0.435,0.287,
804595158,44.0,F,4,Graduate,Single,Less than $40K,Blue,36.0,6.0,4,2,7000.0,2517,0.475,1112,23,1.875,0.36,
714826758,37.0,F,3,Uneducated,,Less than $40K,Blue,29.0,4.0,4,2,7038.0,1801,0.751,2339,57,0.966,0.256,
779058108,49.0,M,3,Graduate,Divorced,$60K - $80K,Blue,30.0,6.0,1,2,2536.0,1823,0.703,1468,23,0.353,0.719,
710790258,47.0,M,2,Graduate,Married,$80K - $120K,Blue,38.0,6.0,3,2,28904.0,1899,0.85,1334,35,0.4,0.066,
715623483,47.0,M,3,Graduate,,$60K - $80K,Blue,37.0,4.0,4,0,8567.0,1695,1.242,1457,41,1.412,0.198,
715156383,44.0,M,1,Unknown,Unknown,$120K +,Blue,36.0,6.0,2,2,34516.0,1533,0.924,1603,29,0.526,0.044,
711013983,55.0,F,4,Unknown,Married,$40K - $60K,,45.0,2.0,4,3,2158.0,0,0.585,615,12,0.714,0.0,
755420433,59.0,F,1,Graduate,Married,Unknown,Blue,52.0,2.0,3,3,10133.0,1417,0.383,1068,20,0.818,0.14,
794543958,53.0,M,1,Graduate,Divorced,$80K - $120K,Blue,35.0,5.0,4,2,34516.0,1219,1.129,1590,27,2.0,0.035,
716396358,52.0,M,2,Graduate,Married,$60K - $80K,,47.0,5.0,3,0,3085.0,1910,0.921,1531,35,0.667,0.619,
715398033,53.0,M,2,High School,Single,$120K +,Blue,35.0,4.0,2,1,19040.0,2056,0.607,1212,31,0.722,0.108,
711743883,43.0,F,3,Uneducated,Single,Less than $40K,Blue,35.0,5.0,2,3,4026.0,0,0.483,1237,32,0.6,0.0,
719720058,44.0,M,3,High School,Single,$60K - $80K,,31.0,4.0,3,1,12756.0,837,1.932,1413,14,1.8,0.066,
778992108,57.0,M,2,Unknown,Married,$120K +,Blue,45.0,5.0,3,3,5266.0,0,1.702,1516,29,1.636,0.0,
717539808,51.0,F,2,High School,Single,Less than $40K,Blue,36.0,3.0,2,2,9930.0,0,0.731,1276,21,1.333,0.0,
714070758,49.0,M,4,High School,Single,$80K - $120K,Blue,38.0,4.0,3,0,31302.0,1953,0.875,1564,35,2.182,0.062,
714107958,45.0,M,1,Graduate,,$40K - $60K,,36.0,4.0,4,3,6576.0,0,0.579,1465,34,0.619,0.0,
789140283,53.0,M,0,Graduate,Single,$80K - $120K,Blue,,5.0,4,1,2664.0,2037,0.85,1286,29,0.933,0.765,
715550508,45.0,F,3,Unknown,Married,Unknown,Blue,28.0,5.0,1,2,2535.0,2440,1.705,1312,20,1.222,0.963,
719712633,64.0,M,1,Graduate,Married,Less than $40K,Blue,52.0,6.0,4,3,1709.0,895,1.656,1673,32,0.882,0.524,
772629333,45.0,M,3,Graduate,Married,$40K - $60K,Blue,35.0,5.0,4,2,3454.0,1200,0.597,1313,30,0.304,0.347,
720336708,53.0,M,3,Doctorate,Married,$40K - $60K,Blue,35.0,5.0,3,2,3789.0,1706,1.047,1609,42,0.68,0.45,
802013583,56.0,M,3,College,Married,$120K +,,50.0,3.0,2,0,9689.0,2250,0.576,1158,19,0.727,0.232,
711887583,47.0,M,2,Unknown,Married,$80K - $120K,Blue,37.0,2.0,3,3,5449.0,1628,0.696,836,18,0.385,0.299,
714778833,49.0,F,3,College,Single,Unknown,,43.0,4.0,4,0,23032.0,1960,0.619,1289,22,1.0,0.085,
713843283,41.0,F,3,Unknown,Married,Unknown,Silver,34.0,5.0,3,3,34516.0,2053,1.034,1487,26,0.733,0.059,
779155158,53.0,M,3,Graduate,Married,$120K +,Blue,34.0,6.0,2,2,2940.0,1264,0.562,1259,33,0.5,0.43,
721091583,44.0,F,2,Graduate,Single,Less than $40K,,32.0,3.0,3,3,3031.0,1879,0.788,1298,15,1.5,0.62,
713572683,44.0,M,3,High School,Unknown,$60K - $80K,Blue,25.0,3.0,3,0,1862.0,0,0.883,1226,34,0.789,0.0,
716657058,43.0,F,4,Post-Graduate,Married,Less than $40K,Blue,33.0,2.0,3,3,8358.0,926,0.762,1566,37,0.542,0.111,
779509983,53.0,M,2,Post-Graduate,Single,$120K +,,36.0,6.0,1,2,34516.0,931,0.828,1022,21,1.1,0.027,
717929133,44.0,M,1,Uneducated,Married,$60K - $80K,Blue,36.0,5.0,2,3,14450.0,2440,1.283,1235,30,0.667,0.169,
808284783,62.0,F,1,Unknown,Married,Less than $40K,Blue,56.0,6.0,0,0,1438.3,0,0.813,1951,44,1.095,0.0,
708476808,54.0,M,4,Unknown,Divorced,$120K +,Blue,36.0,6.0,3,2,33791.0,1960,0.618,1047,31,0.824,0.058,
710916408,57.0,M,4,Graduate,Married,$60K - $80K,,39.0,4.0,3,0,8466.0,1886,0.56,1342,32,0.391,0.223,
708492558,42.0,M,3,Unknown,Married,$60K - $80K,Blue,36.0,5.0,3,3,15088.0,865,0.939,1107,21,1.625,0.057,
799825758,42.0,M,4,High School,Divorced,$60K - $80K,Blue,36.0,5.0,1,2,3263.0,1674,0.588,1251,35,0.346,0.513,
718619883,54.0,F,0,Uneducated,,Less than $40K,Blue,36.0,2.0,2,2,1494.0,706,1.674,1305,24,3.0,0.473,
711844758,48.0,M,3,Graduate,,$80K - $120K,Blue,35.0,6.0,1,0,13551.0,1294,0.791,1388,37,1.056,0.095,
714798783,49.0,M,1,Graduate,,$80K - $120K,Blue,36.0,6.0,2,2,18886.0,895,1.826,1235,18,1.571,0.047,
826762908,52.0,M,3,High School,Unknown,$80K - $120K,,,3.0,2,0,11976.0,1273,1.024,2089,36,1.118,0.106,
771894558,50.0,M,3,High School,Single,$80K - $120K,Blue,39.0,4.0,1,4,9964.0,1559,1.873,1626,25,0.786,0.156,
721074183,49.0,M,1,Doctorate,,$60K - $80K,Blue,36.0,4.0,6,3,24159.0,1196,0.712,1111,24,1.0,0.05,
715259583,53.0,F,2,High School,Married,Less than $40K,Blue,44.0,3.0,2,3,5362.0,1901,0.816,1553,38,1.0,0.355,
718414008,50.0,M,2,Graduate,Single,$120K +,,36.0,3.0,2,2,34516.0,1023,1.004,1064,13,0.625,0.03,
719666283,55.0,F,1,Doctorate,Married,Less than $40K,Blue,36.0,4.0,1,0,3174.0,1951,0.766,1243,29,0.611,0.615,
714877233,53.0,M,1,High School,Married,$80K - $120K,Blue,47.0,3.0,2,2,12262.0,1836,1.584,1659,38,1.533,0.15,
785387883,47.0,F,3,High School,Single,$40K - $60K,Blue,41.0,4.0,3,3,3788.0,1540,0.566,1594,47,0.382,0.407,
771075258,55.0,M,2,College,Single,$120K +,,42.0,2.0,3,2,34516.0,1527,0.526,1268,42,0.355,0.044,
711318033,47.0,M,3,Graduate,,$60K - $80K,Blue,36.0,4.0,2,2,2926.0,0,0.676,1304,24,0.846,0.0,
783554958,58.0,M,4,Graduate,Single,$120K +,Blue,52.0,6.0,1,0,32090.0,0,0.567,1368,30,0.364,0.0,
720201033,53.0,M,2,Graduate,Married,$80K - $120K,Blue,41.0,3.0,3,2,11669.0,2227,0.622,720,23,0.353,0.191,
718039683,52.0,M,2,High School,Single,$40K - $60K,Blue,45.0,3.0,1,2,13532.0,1300,0.846,1521,29,1.417,0.096,
710806083,50.0,F,1,Uneducated,Unknown,Less than $40K,Silver,36.0,4.0,2,2,11888.0,2090,0.7,1137,30,0.765,0.176,
714752208,42.0,F,1,Graduate,Married,Less than $40K,Blue,36.0,5.0,1,2,2393.0,1985,0.788,978,16,0.778,0.83,
822063408,43.0,M,4,Unknown,Married,$40K - $60K,,39.0,5.0,1,2,6111.0,2517,0.632,1221,16,2.2,0.412,
714490308,57.0,M,4,Graduate,,$80K - $120K,Blue,46.0,3.0,2,3,19270.0,1662,1.186,1565,28,1.545,0.086,
713356833,52.0,M,1,Graduate,Married,$80K - $120K,Blue,43.0,3.0,1,4,3710.0,2517,1.541,1578,34,0.7,0.678,
711402333,47.0,M,2,Doctorate,Single,Less than $40K,Blue,37.0,2.0,1,3,3235.0,797,0.541,1493,32,1.0,0.246,
708296883,44.0,F,3,Graduate,Single,$40K - $60K,Blue,38.0,3.0,1,0,11749.0,788,0.688,1178,27,0.929,0.067,
719154483,53.0,M,2,High School,Divorced,$60K - $80K,Blue,36.0,,3,2,7753.0,2100,0.839,991,26,0.733,0.271,
717721458,45.0,M,4,College,Divorced,$60K - $80K,Blue,40.0,5.0,1,0,10408.0,1186,1.689,2560,42,1.211,0.114,
711112683,63.0,F,1,College,Married,Unknown,,36.0,6.0,2,3,3967.0,1568,1.236,1657,29,1.231,0.395,
715674483,39.0,F,2,Post-Graduate,Single,Less than $40K,Blue,27.0,4.0,2,2,6205.0,2517,0.939,1204,19,0.727,0.406,
789322833,48.0,F,5,High School,Married,Less than $40K,Blue,38.0,1.0,3,3,8025.0,0,0.654,673,18,0.8,0.0,
789968058,51.0,M,1,Unknown,Single,$120K +,Blue,42.0,6.0,2,3,9036.0,2327,0.649,1131,18,0.636,0.258,
709919283,54.0,M,4,Graduate,Married,$80K - $120K,,34.0,2.0,3,2,14926.0,2517,1.996,1576,25,1.5,0.169,
718744008,59.0,F,1,Graduate,Single,Less than $40K,Blue,36.0,3.0,2,3,6335.0,1128,0.397,1217,20,0.667,0.178,
767712558,59.0,M,1,College,Single,$60K - $80K,Blue,53.0,2.0,3,3,14979.0,0,0.71,530,10,1.0,0.0,
712950783,48.0,F,4,Uneducated,Married,Less than $40K,Blue,38.0,3.0,2,3,2732.0,0,0.76,739,16,0.455,0.0,
716104983,41.0,F,2,Graduate,Single,Less than $40K,,32.0,6.0,3,2,2250.0,2117,1.162,1617,31,2.875,0.941,
818839983,55.0,M,2,Graduate,Married,$120K +,Blue,50.0,3.0,2,0,10916.0,1536,1.317,1592,34,1.0,0.141,
772288758,47.0,F,4,Graduate,Married,Unknown,Blue,36.0,4.0,1,3,5349.0,1228,0.728,1343,30,1.308,0.23,
712350858,41.0,M,2,High School,,$80K - $120K,,24.0,4.0,1,3,9366.0,1104,0.572,1303,39,0.625,0.118,
711009708,40.0,M,3,High School,Single,$80K - $120K,Blue,28.0,5.0,1,0,21617.0,0,1.047,1351,22,0.467,0.0,
712720158,68.0,M,1,Graduate,,Unknown,Blue,,5.0,2,3,13860.0,1652,1.255,1910,32,1.909,0.119,
712215258,50.0,F,1,Graduate,,$40K - $60K,Silver,31.0,2.0,2,3,18386.0,0,0.868,1298,22,0.571,0.0,
773827008,47.0,M,4,Uneducated,,$60K - $80K,Blue,41.0,6.0,2,2,2405.0,1540,0.469,1087,29,1.231,0.64,
795232683,53.0,F,1,College,Married,Less than $40K,Blue,47.0,4.0,2,3,2154.0,930,2.121,1439,26,1.364,0.432,
713786508,42.0,F,5,Unknown,Married,$40K - $60K,Blue,36.0,3.0,3,3,2038.0,0,0.786,1238,28,0.75,0.0,
713539833,48.0,F,4,High School,Single,$40K - $60K,,38.0,6.0,1,3,8135.0,0,1.373,1716,29,0.812,0.0,
712454058,49.0,M,1,Doctorate,Married,$120K +,Blue,38.0,6.0,1,3,9364.0,618,0.554,1099,27,0.8,0.066,
718759833,44.0,F,2,Uneducated,Married,Unknown,Silver,35.0,4.0,3,2,32643.0,0,1.3,1058,24,2.429,0.0,
718803333,43.0,F,4,Graduate,,Less than $40K,Blue,34.0,2.0,3,1,3195.0,1954,0.971,1285,29,0.706,0.612,
720253908,56.0,M,0,High School,Married,$80K - $120K,Blue,43.0,5.0,2,1,2852.0,1024,1.009,1651,28,1.0,0.359,
714133158,59.0,F,1,College,Single,Unknown,Blue,36.0,2.0,3,3,4224.0,1305,0.852,1152,31,0.824,0.309,
713187033,46.0,M,1,Uneducated,Married,$60K - $80K,Blue,36.0,3.0,2,2,20459.0,2071,1.248,1767,38,2.167,0.101,
714791208,47.0,F,4,Unknown,,Less than $40K,Blue,41.0,6.0,5,3,3482.0,2114,0.508,1039,24,0.263,0.607,
772426383,50.0,F,4,Uneducated,Married,$40K - $60K,,40.0,5.0,2,3,3065.0,1570,1.077,1130,28,1.333,0.512,
710975883,51.0,F,3,Uneducated,Married,Less than $40K,,43.0,3.0,1,2,2185.0,1761,0.682,1645,30,0.429,0.806,
714264408,47.0,F,3,Uneducated,Married,Less than $40K,Blue,36.0,4.0,1,0,1611.0,746,0.993,1413,29,0.706,0.463,
715827858,58.0,F,4,Uneducated,,Less than $40K,Blue,47.0,3.0,3,3,2822.0,2173,1.456,1218,23,2.286,0.77,
713741358,46.0,M,5,Graduate,Single,$80K - $120K,Blue,33.0,6.0,3,3,32975.0,2517,0.658,597,17,0.7,0.076,
709531908,53.0,M,3,High School,Married,$60K - $80K,Blue,47.0,5.0,2,2,1438.3,0,0.776,2184,53,0.828,0.0,
716493408,45.0,F,4,Uneducated,,Unknown,Blue,36.0,4.0,3,3,15875.0,1719,0.86,1592,37,1.467,0.108,
714141108,52.0,F,1,High School,Married,Less than $40K,Blue,45.0,6.0,3,3,6703.0,893,0.567,1388,28,0.75,0.133,
708953883,53.0,M,2,Unknown,Married,$80K - $120K,Blue,36.0,,2,1,3212.0,0,0.713,757,20,0.25,0.0,
712608783,50.0,M,2,High School,Married,$80K - $120K,Silver,45.0,3.0,1,3,34516.0,1260,0.588,1504,34,0.789,0.037,
820353558,41.0,F,3,High School,Married,$40K - $60K,,36.0,4.0,1,2,9797.0,1434,0.644,1503,34,0.478,0.146,
714964758,45.0,F,5,Graduate,Divorced,$40K - $60K,Blue,36.0,5.0,2,2,10400.0,1777,0.791,1105,28,0.867,0.171,
716264358,53.0,M,3,Uneducated,Married,$80K - $120K,Blue,42.0,2.0,1,2,26792.0,1836,1.432,2398,47,0.88,0.069,
717296808,67.0,F,1,Graduate,,Less than $40K,Blue,56.0,4.0,3,2,3006.0,2517,2.053,1661,32,1.0,0.837,
712977183,57.0,F,2,Uneducated,,$40K - $60K,Silver,36.0,6.0,3,0,19482.0,1072,0.706,1421,22,1.444,0.055,
710829108,59.0,F,1,Uneducated,Married,$40K - $60K,Blue,36.0,4.0,2,3,3356.0,985,0.35,999,28,0.556,0.294,
779562633,45.0,M,2,Uneducated,Married,$40K - $60K,Blue,34.0,3.0,2,1,5771.0,2248,1.791,1387,18,0.8,0.39,
715315833,51.0,M,3,Graduate,Married,$80K - $120K,Blue,36.0,6.0,2,3,11106.0,2107,0.948,1243,24,1.0,0.19,
815500983,59.0,F,1,Uneducated,Married,Less than $40K,Blue,54.0,5.0,3,0,2890.0,2001,1.334,1860,36,1.0,0.692,
719360583,53.0,M,1,Graduate,,$60K - $80K,,45.0,6.0,2,2,3380.0,1701,0.747,1502,25,1.273,0.503,
709701558,47.0,M,3,Graduate,Married,$60K - $80K,Blue,36.0,2.0,1,2,21331.0,1251,0.949,1460,50,1.083,0.059,
721148358,49.0,F,3,Uneducated,Single,Unknown,Blue,38.0,6.0,2,1,12860.0,0,0.646,1348,27,0.286,0.0,
779862408,49.0,M,3,Post-Graduate,Single,$80K - $120K,Blue,33.0,3.0,1,0,6278.0,462,1.161,1087,33,0.941,0.074,
812627208,60.0,F,0,College,,Less than $40K,Blue,55.0,5.0,1,3,1438.3,738,0.782,1226,33,0.571,0.513,
711033408,50.0,F,2,High School,,Less than $40K,,36.0,5.0,1,2,9355.0,1626,0.701,1230,28,0.867,0.174,
779956608,41.0,F,2,Post-Graduate,Married,Unknown,Blue,31.0,6.0,1,3,20758.0,0,0.688,1555,32,0.684,0.0,
780376683,57.0,M,1,Graduate,Married,$80K - $120K,Blue,47.0,5.0,3,1,14612.0,1976,1.768,1827,24,3.0,0.135,
717912483,43.0,M,4,Graduate,Unknown,$80K - $120K,Blue,27.0,5.0,2,0,27259.0,0,0.731,1376,35,0.591,0.0,
714454758,57.0,F,3,Graduate,Married,Less than $40K,Blue,47.0,4.0,2,3,6347.0,1594,0.896,1771,37,0.762,0.251,
780466533,54.0,M,3,Doctorate,Married,$120K +,Blue,41.0,3.0,3,0,21592.0,1676,1.097,1873,52,0.529,0.078,
715735233,51.0,F,5,Post-Graduate,Married,Less than $40K,Blue,44.0,5.0,1,1,3449.0,1598,0.971,1679,42,0.556,0.463,
720476733,47.0,F,3,High School,Married,Less than $40K,Blue,34.0,2.0,1,2,6028.0,799,0.819,1002,22,0.571,0.133,
715872333,41.0,M,0,High School,Unknown,$120K +,Blue,36.0,3.0,2,3,18214.0,1998,0.829,1344,21,1.1,0.11,
712375758,53.0,M,3,Uneducated,,$80K - $120K,,43.0,3.0,3,1,16393.0,1423,1.642,1461,42,0.75,0.087,
708868233,68.0,M,0,High School,Married,Less than $40K,Blue,52.0,1.0,3,2,1438.3,900,0.743,760,21,0.615,0.626,
718030083,59.0,M,1,College,Married,$60K - $80K,Blue,36.0,4.0,1,2,7871.0,1687,1.242,1428,22,1.444,0.214,
